Date/Time,Compute Power,Accessory Power,Total Power,Power Usage Effectiveness(100%),Temperature
2023-10-31 15:00:00,14.033833333333334,0.6434833333333333,14.677666666666667,1.0461666666666667,13.0
2023-10-31 16:00:00,12.782499999999999,0.6458499999999999,13.428333333333333,1.0511666666666668,13.0
2023-10-31 17:00:00,15.984,0.6905333333333333,16.674333333333333,1.043,12.6
2023-10-31 18:00:00,12.482,0.6680166666666666,13.150166666666665,1.055,11.0
2023-10-31 19:00:00,8.982833333333334,0.5581833333333334,9.541333333333332,1.062,9.0
2023-10-31 20:00:00,9.4415,0.5493833333333333,9.991,1.0586666666666666,8.0
2023-10-31 21:00:00,10.688,0.5783,11.266,1.0545,6.3
2023-10-31 22:00:00,10.187,0.53415,10.721166666666667,1.053,6.0
2023-10-31 23:00:00,9.747666666666666,0.5336500000000001,10.281166666666666,1.0555,6.0
2023-11-01 00:00:00,9.184833333333334,0.5059666666666667,9.690833333333334,1.055,4.0
2023-11-01 01:00:00,9.323333333333334,0.49571666666666664,9.819,1.0533333333333335,3.0
2023-11-01 02:00:00,9.5615,0.48616666666666664,10.047500000000001,1.0508333333333333,2.0
2023-11-01 03:00:00,9.8435,0.48685,10.330499999999999,1.0491666666666666,2.0
2023-11-01 04:00:00,15.270166666666666,0.5317500000000001,15.802166666666666,1.0356666666666667,1.0
2023-11-01 05:00:00,8.621833333333333,0.48560000000000003,9.1075,1.0565,-1.0
2023-11-01 06:00:00,8.373333333333333,0.46799999999999997,8.841166666666666,1.056,0.0
2023-11-01 07:00:00,8.476833333333333,0.46868333333333334,8.945500000000001,1.0556666666666665,-2.0
2023-11-01 08:00:00,9.999166666666667,0.47015,10.469499999999998,1.0476666666666667,0.0
2023-11-01 09:00:00,12.839833333333333,0.51515,13.355166666666667,1.0401666666666667,2.0
2023-11-01 10:00:00,12.842,0.5320333333333332,13.374,1.0414999999999999,1.7
2023-11-01 11:00:00,12.752666666666665,0.5381333333333334,13.290666666666667,1.0423333333333333,4.0
2023-11-01 12:00:00,12.764000000000001,0.54965,13.313833333333333,1.043,6.0
2023-11-01 13:00:00,14.207666666666666,0.5838166666666667,14.791666666666666,1.0410000000000001,7.0
2023-11-01 14:00:00,11.033999999999999,0.5698333333333333,11.603833333333334,1.0518333333333334,8.0
2023-11-01 15:00:00,10.901666666666666,0.5463833333333333,11.448166666666667,1.05,9.0
2023-11-01 16:00:00,11.777666666666667,0.5699833333333334,12.348,1.0485,9.0
2023-11-01 17:00:00,10.707833333333333,0.5530333333333334,11.260833333333332,1.0516666666666667,8.0
2023-11-01 18:00:00,10.7695,0.5505,11.32,1.0508333333333333,7.0
2023-11-01 19:00:00,10.317,0.5228833333333333,10.840166666666667,1.0506666666666666,4.0
2023-11-01 20:00:00,8.974499999999999,0.49396666666666667,9.468666666666666,1.0553333333333332,3.0
2023-11-01 21:00:00,8.911833333333332,0.48256666666666664,9.394333333333334,1.0538333333333334,4.0
2023-11-01 22:00:00,9.0805,0.47865,9.559166666666666,1.0528333333333333,1.0
2023-11-01 23:00:00,9.099,0.4771,9.576166666666667,1.0523333333333333,0.0
2023-11-02 00:00:00,8.970166666666666,0.47361666666666663,9.444,1.0526666666666666,-1.0
2023-11-02 01:00:00,9.236333333333333,0.4744,9.710666666666667,1.0511666666666666,-1.0
2023-11-02 02:00:00,20.650833333333335,0.5982,21.248833333333334,1.0296666666666667,-2.0
2023-11-02 03:00:00,18.4285,0.6224833333333334,19.051166666666667,1.0366666666666666,-2.0
2023-11-02 04:00:00,9.051,0.47208333333333335,9.523166666666667,1.0523333333333333,-2.0
2023-11-02 05:00:00,13.743833333333333,0.4913666666666667,14.235,1.0363333333333333,-3.0
2023-11-02 06:00:00,17.614333333333335,0.5912833333333333,18.20566666666667,1.0336666666666667,-3.0
2023-11-02 07:00:00,8.203666666666667,0.4829833333333333,8.686833333333333,1.0591666666666668,-3.0
2023-11-02 08:00:00,7.928,0.4641166666666667,8.392,1.0586666666666666,-2.0
2023-11-02 09:00:00,8.239166666666668,0.47280000000000005,8.712,1.0573333333333332,1.0
2023-11-02 10:00:00,8.122666666666667,0.4902,8.613000000000001,1.0601666666666667,4.0
2023-11-02 11:00:00,8.206666666666667,0.5049166666666667,8.711833333333333,1.0614999999999999,7.0
2023-11-02 12:00:00,8.9125,0.5276,9.440166666666666,1.0595,9.0
2023-11-02 13:00:00,10.156333333333334,0.5873666666666667,10.743833333333333,1.0578333333333334,11.0
2023-11-02 14:00:00,14.384,0.6579166666666666,15.042000000000002,1.0456666666666667,12.0
2023-11-02 15:00:00,12.573833333333333,0.65345,13.227333333333334,1.0521666666666667,13.0
2023-11-02 16:00:00,9.693166666666668,0.5801166666666666,10.2735,1.0596666666666665,13.0
2023-11-02 17:00:00,13.841333333333333,0.6236666666666667,14.464999999999998,1.0471666666666668,13.0
