name,company_name,m2,gross_max_power,lon,lat,Punktgeometrie (als WKT)
Wil,Swisscom (Switzerland) Ltd.,,,9.045617799999945,47.4634699,POINT (9.045617799999945 47.4634699)
Zurich ,Solar Communications,,,8.496243400000026,47.3877357,POINT (8.496243400000026 47.3877357)
Gothenburg,Telia Carrier,,,11.991872100000023,57.7928608,POINT (11.991872100000023 57.7928608)
Hamburg (Langenhorner Chausse),Telia Carrier,,,10.015819999999962,53.6376,POINT (10.015819999999962 53.6376)
Hannover (Beiersdorfstrasse),Telia Carrier,,,9.729809700000033,52.40605,POINT (9.729809700000033 52.40605)
Kingisepp,Rostelecom,,,28.608322000000044,59.377315,POINT (28.608322000000044 59.377315)
Greater Toronto (Vondrau Drive),Ascent Corp,20000,,-80.37284369999998,43.4270712,POINT (-80.37284369999998 43.4270712)
Malmo,Telia Carrier,,,13.003011399999991,55.6001025,POINT (13.003011399999991 55.6001025)
Munich,M-Net Telecommunications Ltd.,,,11.587741100000017,48.1850193,POINT (11.587741100000017 48.1850193)
Munich,Telia Carrier,,,11.588449999999966,48.1882052,POINT (11.588449999999966 48.1882052)
TAT-14 CLS,TAT-14 Cable System,,,8.284929000000034,55.777426,POINT (8.284929000000034 55.777426)
Copenhagen,DigiPlex AS,1600,1600,12.621625900000026,55.668076,POINT (12.621625900000026 55.668076)
Paris (rue l'Éguillette),iliad Datacenter,,,2.1377641999999923,49.053416,POINT (2.1377641999999923 49.053416)
Poznan 1,Beyond.pl,400,1600,16.925653600000032,52.40226730000001,POINT (16.925653600000032 52.40226730000001)
Poznan 2,Beyond.pl,2000,14000,16.97418970000001,52.37475269999999,POINT (16.97418970000001 52.37475269999999)
Montanta (3-ti Mart),Telepoint Data Center Bulgaria,,,23.22513319999996,43.4061855,POINT (23.22513319999996 43.4061855)
Sofia (Ovcho pole),Telepoint Data Center Bulgaria,4000,2500,23.306258800000023,42.7027351,POINT (23.306258800000023 42.7027351)
Bogota,CenturyLink,1105,,-74.0644327,4.7548146,POINT (-74.0644327 4.7548146)
Bratislava 1,Sitel,,,14.482420600000069,50.05969649999999,POINT (14.482420600000069 50.05969649999999)
Montreal 3,eStruxture,,,-73.4301049,45.5683911,POINT (-73.4301049 45.5683911)
Maidenhead,Pulsant,11200,,-0.7085380999999416,51.5003986,POINT (-0.7085380999999416 51.5003986)
Riga (Lielvardes iela),Telia Latvija,,,24.188352699999996,56.9772384,POINT (24.188352699999996 56.9772384)
St. Petersburg (Mayakovkogo),Telia Carrier,,,30.35462899999993,59.93719300000001,POINT (30.35462899999993 59.93719300000001)
St. Petersburg 2,Miran,685,3500,30.340862199999947,59.96285409999998,POINT (30.340862199999947 59.96285409999998)
St. Petersburg 1,Miran,500,3500,30.341194738623017,59.96040455692764,POINT (30.341194738623017 59.96040455692764)
Duesseldorf (In der Steele),CenturyLink,1205,4000,6.867279999999937,51.18819000000001,POINT (6.867279999999937 51.18819000000001)
Hayes,CenturyLink,408,,-0.397721899999965,51.5119225,POINT (-0.397721899999965 51.5119225)
Paris,CenturyLink,1468,6000,2.214782000000014,48.887975,POINT (2.214782000000014 48.887975)
Tallinn (Sole),Telia Carrier,,,24.714022800000066,59.43499169999999,POINT (24.714022800000066 59.43499169999999)
Tallin (Kuuse),Telia Carrier,,,24.681951700000013,59.3864354,POINT (24.681951700000013 59.3864354)
Timisoara,Orange,,,21.213171399999965,45.7758519,POINT (21.213171399999965 45.7758519)
Zurich 3,Equinix,,,8.557311099999993,47.4326816,POINT (8.557311099999993 47.4326816)
Norre Nebel,Telia Carrier,,,8.284929000000034,55.777426,POINT (8.284929000000034 55.777426)
Karksi-Nuia,Unclaimed,,,25.5453933,58.1054752,POINT (25.5453933 58.1054752)
Narva,Unclaimed,,,28.191906700000004,59.38104509999999,POINT (28.191906700000004 59.38104509999999)
