time,avg_power
2021-05-11 13:00:00,96.18280168522419
2021-05-11 14:00:00,96.55008176007136
2021-05-11 15:00:00,97.90134319348023
2021-05-11 16:00:00,96.29043544690605
2021-05-11 17:00:00,96.28788470199669
2021-05-11 18:00:00,97.76571731555825
2021-05-11 19:00:00,96.40807425294295
2021-05-11 20:00:00,97.27779987760097
2021-05-11 21:00:00,96.43275809869816
2021-05-11 22:00:00,96.41975938009787
2021-05-11 23:00:00,96.7336387434555
2021-05-12 00:00:00,96.18424985056784
2021-05-12 01:00:00,96.46992299562133
2021-05-12 02:00:00,97.1831914893617
2021-05-12 03:00:00,125.82771535580524
2021-05-12 23:00:00,96.175
2021-05-13 01:00:00,101.3306796116505
2021-05-13 02:00:00,100.89517131191195
2021-05-13 03:00:00,95.36147186147186
